0.0 0.0 0.0
0.339117 2.500775 3.287539
1.789847 3.854624 8.127651
3.761026 5.331726 14.490728
7.229609 7.638092 20.907201
12.593325 11.425211 29.198296
20.207829 16.327579 39.129958
31.074796 25.942643 60.321415
44.814473 34.011626 77.709990
60.855427 41.263217 93.882168
80.042307 46.496188 107.200310
102.078224 49.971820 119.061144
125.933898 51.469418 130.381961
151.686354 49.887177 138.065912
178.807631 47.065166 143.805308
205.828807 42.516899 146.198342
231.334894 37.353591 145.135886
254.732793 32.069544 139.871215
274.687245 27.991970 132.903989
291.770401 24.391750 123.583189
306.286796 20.869142 113.902376
318.836158 17.577767 103.670714
330.364695 13.986785 90.593735
338.606736 11.379332 78.587955
344.951596 8.750777 65.541424
349.790984 6.754206 52.645842
352.496328 5.451392 41.958341
353.721268 4.211132 32.430393
355 0.0 0.0
